#! FIELDS time phi omega psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_omega -pi
#! SET max_omega pi
#! SET min_psi -pi
#! SET max_psi pi
 135.000000 -1.262123 -0.085793 2.993547
 136.000000 -1.221632 -0.368212 3.061018
 137.000000 -1.732058 -0.088789 -3.100253
 138.000000 -1.185017 -0.375576 2.836688
 139.000000 -1.597374 0.074365 3.073156
 140.000000 -1.557891 -0.068240 3.081582
 141.000000 -1.122153 -0.353753 -2.980282
 142.000000 -1.081042 -0.318310 2.706631
 143.000000 -0.985685 -0.536288 3.054569
 144.000000 -1.615533 0.003751 3.028532
 145.000000 -1.703557 0.145791 -3.014071
 146.000000 -1.014907 -0.441865 3.056705
 147.000000 -1.077257 -0.401582 -3.111261
 148.000000 -1.047561 -0.279738 3.112333
 149.000000 -1.115489 -0.285741 3.027739
 150.000000 -1.377769 -0.174236 3.137862
 151.000000 -1.298987 -0.079027 2.901790
 152.000000 -1.382616 -0.242265 3.138279
 153.000000 -1.145036 -0.355124 2.946947
 154.000000 -1.889083 0.498970 -3.034876
 155.000000 -1.104447 -0.100231 2.887354
 156.000000 -1.110731 -0.282777 2.957771
 157.000000 -0.841156 -0.530012 2.743097
 158.000000 -1.340533 -0.053605 2.944574
 159.000000 -1.676194 0.108637 3.087866
 160.000000 -2.127413 0.571084 -2.938088
 161.000000 -0.546472 -0.854453 -3.094794
 162.000000 -1.080297 -0.425278 -3.103235
 163.000000 -1.399224 -0.006385 3.124460
 164.000000 -1.568239 0.001940 3.035714
 165.000000 -0.972732 -0.390350 2.821451
 166.000000 -1.445949 -0.002107 3.125286
 167.000000 -1.357746 -0.272910 2.692517
 168.000000 -2.100495 0.901720 -2.836762
 169.000000 -1.013109 -0.507583 2.959249
 170.000000 -1.485814 -0.040586 -3.055112
 171.000000 -1.225203 -0.188430 3.098798
 172.000000 -1.089143 -0.244507 -3.044063
 173.000000 -1.310937 -0.222142 3.022550
 174.000000 -1.413137 0.100332 2.807832
 175.000000 -1.298436 0.092109 2.994811
 176.000000 -1.130314 -0.047361 2.885241
 177.000000 -0.899349 -0.304936 2.764782
 178.000000 -1.264972 -0.232247 3.081003
 179.000000 -1.226548 -0.297977 3.051057
 180.000000 -1.436387 -0.070814 2.965413
 181.000000 -1.369583 0.157992 2.783434
 182.000000 -1.020422 -0.248757 2.912835
 183.000000 -0.950308 -0.537054 2.975858
 184.000000 -0.810558 -0.386591 3.020762
 185.000000 -0.887787 -0.387329 2.835836
 186.000000 -1.188540 -0.318155 2.769773
 187.000000 -1.047229 -0.404736 3.013642
 188.000000 -0.927128 -0.371781 2.836286
 189.000000 -1.107879 -0.359237 2.978111
 190.000000 -1.713317 -0.098466 2.961947
 191.000000 -0.978969 -0.367686 2.908164
 192.000000 -1.109853 -0.348605 2.919304
 193.000000 -1.337156 -0.190211 -3.062726
 194.000000 -1.374785 -0.067521 -3.065314
 195.000000 -1.008570 -0.513871 -3.061168
 196.000000 -1.598046 -0.261737 3.075331
 197.000000 -1.445714 -0.061750 3.038342
 198.000000 -0.800186 -0.488941 2.897635
 199.000000 -1.401759 -0.144176 -3.015626
 200.000000 -0.557161 -0.380038 2.435913
 201.000000 -1.345786 -0.027785 2.840595
 202.000000 -1.073420 -0.227021 2.912928
 203.000000 -1.141103 -0.164206 3.080816
 204.000000 -1.335185 -0.390136 3.005539
 205.000000 -1.262787 -0.090103 2.977726
 206.000000 -1.271931 -0.208738 3.034293
 207.000000 -1.162976 -0.194643 3.066284
 208.000000 -1.251559 -0.255066 -3.042053
 209.000000 -1.077579 -0.375459 2.949546
 210.000000 -1.661005 -0.067007 2.997407
 211.000000 -1.031776 -0.435311 2.880233
 212.000000 -1.396799 -0.298367 -3.114456
 213.000000 -1.099636 -0.437574 3.039918
 214.000000 -0.948385 -0.463482 2.977739
 215.000000 -1.366264 -0.129193 3.046437
 216.000000 -1.243165 -0.346651 3.014537
 217.000000 -0.926566 -0.339808 2.959914
 218.000000 -0.998038 -0.255575 2.944965
 219.000000 -1.351793 -0.392969 -3.057962
 220.000000 -0.910088 -0.354015 2.734995
 221.000000 -1.304256 -0.232423 2.979188
 222.000000 -1.206125 -0.104053 2.868720
 223.000000 -0.995325 -0.555996 2.866477
 224.000000 -1.057450 -0.243769 -3.024410
 225.000000 -1.020489 -0.434036 2.798588
 226.000000 -1.203007 -0.482118 3.007026
 227.000000 -1.102489 -0.304794 3.039272
 228.000000 -1.313472 0.057116 3.112410
 229.000000 -0.865941 -0.476966 2.739637
 230.000000 -1.074164 -0.441383 3.102042
 231.000000 -1.069956 -0.493115 3.016346
 232.000000 -1.397290 -0.309914 3.020167
 233.000000 -0.973026 -0.256700 2.715169
 234.000000 -0.913596 -0.562805 2.845999
 235.000000 -1.359857 -0.247381 2.755764
 236.000000 -1.336012 -0.086820 3.037378
 237.000000 -2.210866 0.239268 -2.984536
 238.000000 -0.847914 -0.415862 2.992742
 239.000000 -1.253528 -0.253762 2.880581
 240.000000 -1.214667 -0.319989 3.067940
 241.000000 -0.960694 -0.356825 2.811566
 242.000000 -1.120615 -0.254143 2.973821
 243.000000 -1.081196 -0.336862 2.834948
 244.000000 -1.575353 -0.030427 -3.050616
 245.000000 -1.252554 -0.153656 3.017638
 246.000000 -0.944951 -0.361719 3.109064
 247.000000 -1.140071 -0.300178 2.835122
 248.000000 -1.603102 0.119864 2.991427
 249.000000 -1.385902 -0.059783 3.044937
 250.000000 -1.208939 -0.188342 2.783128
 251.000000 -1.032030 -0.353345 3.050814
 252.000000 -1.015812 -0.431810 3.018064
 253.000000 -0.655899 -0.689375 3.009474
 254.000000 -1.718602 0.239160 -3.009693
 255.000000 -1.964094 0.271918 -3.115731
 256.000000 -1.438236 -0.060025 2.811039
 257.000000 -1.194663 -0.424442 2.965481
 258.000000 -1.134645 -0.034627 2.864039
 259.000000 -1.111276 -0.198117 2.779246
 260.000000 -1.345974 -0.225251 2.995604
 261.000000 -1.251806 -0.175839 3.029810
 262.000000 -0.911422 -0.513113 2.846765
 263.000000 -1.398032 -0.045866 2.983472
 264.000000 -1.113581 -0.371079 2.964019
 265.000000 -1.358914 0.037210 2.987260
 266.000000 -1.468252 0.060697 3.096210
 267.000000 -0.941340 -0.283770 2.665367
 268.000000 -1.509401 -0.049752 2.816350
 269.000000 -1.400201 -0.573895 -2.966052
 270.000000 -1.437651 -0.114235 3.012225
 271.000000 -1.153753 -0.260081 2.960524
 272.000000 -1.346536 -0.052560 2.818688
 273.000000 -1.373147 -0.138561 3.068689
 274.000000 -1.441065 -0.243947 -2.948165
