Simulation (fs)   Real (s)
1679.00000        5.6760634662e-08
1859.00000        1.7794775726e-08
2033.00000        6.2412709048e-08
3621.00000        9.6693007265e-04
1659.00000        3.8584976664e-09
1342.00000        1.3814646595e-09
1275.00000        1.0992834423e-09
1112.00000        5.2027039287e-10
2905.00000        6.0816975423e-05
1131.00000        2.4605428647e-10
1430.00000        2.0690931537e-08
1156.00000        7.0130894604e-10
1708.00000        5.7078345160e-09
1966.00000        5.0317548004e-08
2480.00000        6.1176055266e-06
1508.00000        5.2110712117e-09
1430.00000        9.3184482069e-10
3131.00000        2.2339044861e-05
1415.00000        3.6054520403e-09
1854.00000        1.3787058733e-07
1921.00000        1.0786397658e-07
2099.00000        7.5376125324e-08
2791.00000        1.4999675144e-05
1917.00000        2.5551826245e-07
1939.00000        5.4569264265e-08
1891.00000        7.4387410579e-07
1845.00000        8.8074007986e-08
2109.00000        1.3965902868e-07
2832.00000        1.4914404970e-06
1243.00000        1.2108242257e-09
