0.0 0.0
2.4605428647e-10 0.0333333
5.2027039287e-10 0.0666667
7.0130894604e-10 0.1
9.3184482069e-10 0.133333
1.0992834423e-09 0.166667
1.2108242257e-09 0.2
1.3814646595e-09 0.233333
3.6054520403e-09 0.266667
3.8584976664e-09 0.3
5.2110712117e-09 0.333333
5.7078345160e-09 0.366667
1.7794775726e-08 0.4
2.0690931537e-08 0.433333
5.0317548004e-08 0.466667
5.4569264265e-08 0.5
5.6760634662e-08 0.533333
6.2412709048e-08 0.566667
7.5376125324e-08 0.6
8.8074007986e-08 0.633333
1.0786397658e-07 0.666667
1.3787058733e-07 0.7
1.3965902868e-07 0.733333
2.5551826245e-07 0.766667
7.4387410579e-07 0.8
1.4914404970e-06 0.833333
6.1176055266e-06 0.866667
1.4999675144e-05 0.9
2.2339044861e-05 0.933333
6.0816975423e-05 0.966667
9.6693007265e-04 1
