Simulation (fs)   Real (s)
1765.00000        2.5751673201e-08
1328.00000        7.9077838359e-09
2526.00000        7.0591454151e-07
2237.00000        1.6020406369e-09
1236.00000        2.9582671962e-10
1870.00000        1.2774443915e-08
1496.00000        2.6847979551e-09
1538.00000        8.5340932143e-09
2370.00000        7.1507249800e-05
1087.00000        3.2504069700e-09
1948.00000        8.0568920664e-09
4000.00000        8.0568920664e-09
2026.00000        3.3707875762e-09
1608.00000        1.1528170939e-07
2062.00000        1.8987561323e-08
2320.00000        1.4220608968e-07
1316.00000        1.3178910448e-10
2059.00000        4.9688971463e-09
947.00000         7.1142936627e-11
1019.00000        8.9735050116e-10
983.00000         4.2712088638e-10
1869.00000        4.0631641034e-09
1116.00000        2.1858173515e-10
2270.00000        1.2685622956e-07
1652.00000        6.0989081325e-09
4000.00000        6.0989081325e-09
2197.00000        9.3699684717e-08
1824.00000        2.2524798373e-09
1174.00000        2.1102797715e-10
1005.00000        5.7228244671e-11
